Titolo,URL
Genova JUG Meeting @ DIST on Alfresco and Jazoon 2009 – 13/03/2009,https://juggenova.wordpress.com/2009/03/04/genova-jug-meeting-dist-on-alfresco-and-jazoon-2009-13032009/
Javaday 2009 slides are online,https://juggenova.wordpress.com/2009/02/28/javaday-2009-slides-are-online/
Slides from the meeting on DSLs and iText,https://juggenova.wordpress.com/2009/02/03/slides-from-the-meeting-on-dsls-and-itext/
Genova JUG Meeting @ DISI on DSL and iText – 20/01/2009,https://juggenova.wordpress.com/2009/01/12/genova-jug-meeting-disi-on-dsl-and-itext-20012009/
JUG Genova Meetings in 2009,https://juggenova.wordpress.com/2009/01/12/jug-genova-meetings-in-2009/
JavaDay Roma 2009: not to be missed!,https://juggenova.wordpress.com/2009/01/05/javaday-roma-2009-not-to-be-missed/
Slides from the meeting on NetBeans 6.5 and JavaFX,https://juggenova.wordpress.com/2008/12/04/slides-from-the-meeting-on-netbeans-65-and-javafx/
NetBeans Demo Camp @ JUG Genova – 25/11/2008,https://juggenova.wordpress.com/2008/10/20/netbeans-demo-camp-jug-genova-25112008/
Slide dell’ultimo meeting sul Refactoring,https://juggenova.wordpress.com/2008/09/20/slide-dellultimo-meeting-sul-refactoring/
Genova JUG meeting on Refactoring @ DIST – 16/09/2008,https://juggenova.wordpress.com/2008/09/03/genova-jug-meeting-on-refactoring-dist-16092008/
Slide dell’ ultimo meeting su GWT,https://juggenova.wordpress.com/2008/07/18/slide-dell-ultimo-meeting-su-gwt/
Demo di browser multimodale al prossimo JUG meeting il 15/07/2008,https://juggenova.wordpress.com/2008/07/08/demo-di-browser-multimodale-al-prossimo-jug-meeting-il-15072008/
Genova JUG meeting @ NIS – 15/07/2008,https://juggenova.wordpress.com/2008/06/28/genova-jug-meeting-nis-15072008/
carlo.getChildren() != null,https://juggenova.wordpress.com/2008/06/19/carlogetchildren-null/
Slide dell’ ultimo meeting su Maven2,https://juggenova.wordpress.com/2008/05/21/slide-dell-ultimo-meeting-su-maven2/
Genova JUG Meeting @ FINSA – 20/05/2008,https://juggenova.wordpress.com/2008/05/09/genova-jug-meeting-finsa-20052008/
Java IDE Day: slides; screencasts and a full report are online,https://juggenova.wordpress.com/2008/03/25/java-ide-day-slides-screencasts-and-a-full-report-are-online/
The future of Java IDEs,https://juggenova.wordpress.com/2008/03/20/the-future-of-java-ides/
